Month,Normal.P,Normal.MaxT,Normal.MinT,Normal.MeanT,Normal.snow
1,2.72,34.4,21.7,28.1,18.7
2,2.34,37.5,23.6,30.5,14.9
3,2.93,46.6,30.2,38.4,12.6
4,3.49,59.1,40.4,49.8,3.3
5,3.66,69.5,50.1,59.8,
6,3.43,78.6,59.8,69.2,
7,3.46,82.6,64.3,73.5,
8,3.51,80.8,63.1,72,
9,3.81,73.9,56,65,
10,3.07,62.3,45.4,53.8,0.2
11,3.62,50.8,36.9,43.9,4.3
12,3.1,38.3,26.4,32.4,14.1
